timestamp,open,high,low,close,volume
1760712300000,4.5,4.671,3.8,4.229,1001697.5
1760712600000,4.228,4.28,3.701,4.066,834139.2
1760712900000,4.066,4.2,3.616,3.875,597433.5
1760713200000,3.883,3.891,3.631,3.747,386043.7
1760713500000,3.747,3.928,3.618,3.708,341853.6
1760713800000,3.714,3.75,3.366,3.392,454426.7
1760714100000,3.391,3.547,3.21,3.24,577071.7
1760714400000,3.238,3.283,3.129,3.222,396783.9
1760714700000,3.227,3.476,3.21,3.265,412563.3
1760715000000,3.27,3.7,3.226,3.623,608786.6
1760715300000,3.623,3.955,3.408,3.731,752403.8
1760715600000,3.732,3.864,3.472,3.526,446482.0
1760715900000,3.526,3.619,3.4,3.509,310753.5
1760716200000,3.509,3.546,3.306,3.346,314967.3
1760716500000,3.345,3.435,3.281,3.351,291695.9
1760716800000,3.357,3.373,3.218,3.294,257751.9
1760717100000,3.299,3.464,3.255,3.362,288885.8
1760717400000,3.358,3.378,3.135,3.144,283393.2
1760717700000,3.14,3.148,2.92,2.982,467159.1
1760718000000,2.983,3.06,2.951,2.999,188158.3
1760718300000,3.0,3.111,2.999,3.095,139491.2
1760718600000,3.094,3.211,3.036,3.051,332938.2
1760718900000,3.052,3.168,3.015,3.155,169506.6
1760719200000,3.159,3.195,3.1,3.11,117020.0
1760719500000,3.112,3.17,3.101,3.147,140000.7
1760719800000,3.147,3.186,3.067,3.149,127335.6
1760720100000,3.15,3.171,3.089,3.165,107272.1
1760720400000,3.162,3.424,3.143,3.285,380759.4
1760720700000,3.281,3.387,3.232,3.338,155033.4
1760721000000,3.336,3.542,3.334,3.421,286029.3
1760721300000,3.419,3.6,3.343,3.353,290266.9
1760721600000,3.351,3.392,3.222,3.366,233415.3
1760721900000,3.367,3.485,3.361,3.438,170891.5
1760722200000,3.437,3.437,3.325,3.369,115338.2
1760722500000,3.371,3.399,3.36,3.382,86336.8
1760722800000,3.382,3.398,3.294,3.349,124320.8
1760723100000,3.347,3.523,3.347,3.434,156098.8
1760723400000,3.43,3.77,3.425,3.663,397263.0
1760723700000,3.662,3.689,3.598,3.663,140019.7
1760724000000,3.662,3.892,3.636,3.87,346737.2
1760724300000,3.871,4.299,3.824,4.059,618506.5
1760724600000,4.059,4.166,4.016,4.124,277006.4
1760724900000,4.124,4.41,4.018,4.235,428411.9
1760725200000,4.236,4.236,4.018,4.131,311325.7
1760725500000,4.133,4.164,3.914,4.009,237841.8
1760725800000,4.011,4.288,3.95,4.209,309999.9
1760726100000,4.206,4.225,4.03,4.154,181810.2
1760726400000,4.16,4.188,4.0,4.036,131999.7
1760726700000,4.033,4.148,3.926,3.972,215172.3
1760727000000,3.976,4.23,3.949,4.121,190784.2
1760727300000,4.116,4.126,3.696,3.742,333058.4
1760727600000,3.74,3.913,3.692,3.824,315729.2
1760727900000,3.826,3.898,3.753,3.84,123126.2
1760728200000,3.837,3.86,3.778,3.82,74852.8
1760728500000,3.824,3.986,3.824,3.922,162191.1
1760728800000,3.922,3.953,3.817,3.855,74305.0
1760729100000,3.859,3.879,3.753,3.794,88703.1
1760729400000,3.795,3.826,3.742,3.755,64727.3
1760729700000,3.755,3.825,3.657,3.794,136016.5
1760730000000,3.794,3.935,3.775,3.833,109756.4
1760730300000,3.831,3.851,3.744,3.771,63353.9
1760730600000,3.772,3.781,3.65,3.738,139953.0
1760730900000,3.743,3.757,3.67,3.687,66683.8
1760731200000,3.687,3.753,3.641,3.655,151031.4
1760731500000,3.658,3.728,3.648,3.705,84558.2
1760731800000,3.708,3.75,3.65,3.669,58700.3
1760732100000,3.667,3.725,3.65,3.695,60105.4
1760732400000,3.694,3.716,3.488,3.587,195355.0
1760732700000,3.586,3.637,3.502,3.51,85816.5
1760733000000,3.514,3.573,3.48,3.487,86603.9
1760733300000,3.49,3.54,3.489,3.519,42618.8
1760733600000,3.517,3.54,3.5,3.515,35525.0
1760733900000,3.515,3.533,3.43,3.473,79998.6
1760734200000,3.475,3.487,3.326,3.408,223551.1
1760734500000,3.403,3.417,3.309,3.34,88672.9
1760734800000,3.34,3.376,3.296,3.331,102953.5
1760735100000,3.334,3.438,3.313,3.321,99771.3
1760735400000,3.321,3.367,3.251,3.327,111222.5
1760735700000,3.327,3.402,3.327,3.335,62986.6
1760736000000,3.337,3.338,3.261,3.313,66258.4
1760736300000,3.315,3.389,3.301,3.358,60758.6
1760736600000,3.359,3.38,3.32,3.354,45362.4
1760736900000,3.356,3.6,3.355,3.539,193521.8
1760737200000,3.535,3.711,3.511,3.619,128890.4
1760737500000,3.619,3.8,3.585,3.757,90741.0
1760737800000,3.756,3.78,3.612,3.67,101045.0
1760738100000,3.67,3.686,3.589,3.598,65591.1
1760738400000,3.605,3.649,3.449,3.515,100064.0
1760738700000,3.517,3.688,3.485,3.658,86316.9
1760739000000,3.658,3.66,3.617,3.643,32183.6
1760739300000,3.64,3.76,3.64,3.699,67810.3
1760739600000,3.694,3.79,3.674,3.692,66756.4
1760739900000,3.692,3.728,3.647,3.68,43110.6
1760740200000,3.682,3.736,3.655,3.699,53784.1
1760740500000,3.699,3.701,3.591,3.608,61274.5
1760740800000,3.605,3.655,3.572,3.647,47719.6
1760741100000,3.651,3.717,3.625,3.658,34451.2
1760741400000,3.661,3.8,3.656,3.756,87030.6
1760741700000,3.757,3.907,3.729,3.741,134924.7
1760742000000,3.745,3.952,3.713,3.824,147340.9
1760742300000,3.822,3.931,3.817,3.925,101918.2
1760742600000,3.925,3.988,3.873,3.928,124416.4
1760742900000,3.926,3.948,3.879,3.928,32990.1
1760743200000,3.928,3.996,3.827,3.873,81150.9
1760743500000,3.877,3.975,3.776,3.889,179776.0
1760743800000,3.887,4.0,3.775,3.889,155829.7
1760744100000,3.889,3.906,3.796,3.832,66310.8
1760744400000,3.833,3.906,3.809,3.814,40749.7
1760744700000,3.815,3.934,3.8,3.856,122632.1
1760745000000,3.854,3.857,3.729,3.74,101856.4
1760745300000,3.743,3.813,3.663,3.728,143990.7
1760745600000,3.726,3.882,3.719,3.764,76477.8
1760745900000,3.766,3.855,3.701,3.836,88154.7
1760746200000,3.836,4.156,3.836,3.966,241247.9
1760746500000,3.961,3.966,3.845,3.939,91577.7
1760746800000,3.937,4.021,3.897,3.932,62621.6
1760747100000,3.926,4.042,3.896,3.962,92065.7
1760747400000,3.961,4.068,3.917,4.048,89454.8
1760747700000,4.043,4.127,3.943,4.049,123420.5
1760748000000,4.042,4.047,3.867,3.941,89342.7
1760748300000,3.946,4.045,3.937,4.022,60288.0
