timestamp,open,high,low,close,volume
1758285000000,2.9,3.4,2.8,3.382,2384800.0
1758285300000,3.376,3.758,3.37,3.64,2650290.0
1758285600000,3.64,3.711,3.346,3.535,2175602.0
1758285900000,3.534,3.594,3.35,3.401,1464760.0
1758286200000,3.401,3.447,3.264,3.391,1467069.0
1758286500000,3.39,3.523,3.312,3.352,1350903.0
1758286800000,3.352,3.435,3.156,3.19,1706128.0
1758287100000,3.188,3.24,3.04,3.099,1537077.0
1758287400000,3.098,3.149,2.98,3.069,1395323.0
1758287700000,3.069,3.17,3.02,3.051,934748.0
1758288000000,3.048,3.128,3.034,3.044,601167.0
1758288300000,3.044,3.14,3.03,3.065,525579.0
1758288600000,3.067,3.108,2.872,2.911,1152359.0
1758288900000,2.911,2.945,2.85,2.934,868365.0
1758289200000,2.933,2.974,2.912,2.945,397548.0
1758289500000,2.946,2.958,2.713,2.742,1249718.0
1758289800000,2.741,2.787,2.704,2.735,834957.0
1758290100000,2.737,2.848,2.733,2.802,629187.0
1758290400000,2.802,3.003,2.777,2.983,1094642.0
1758290700000,2.985,3.069,2.919,2.954,872038.0
1758291000000,2.954,3.077,2.938,2.973,779417.0
1758291300000,2.972,3.098,2.97,2.975,610564.0
1758291600000,2.975,3.015,2.917,2.998,468477.0
1758291900000,2.999,3.054,2.967,2.977,360635.0
1758292200000,2.979,3.049,2.97,3.002,307744.0
1758292500000,3.002,3.048,2.906,3.019,542631.0
1758292800000,3.02,3.047,2.94,2.956,390006.0
1758293100000,2.957,3.0,2.92,2.942,415859.0
1758293400000,2.94,2.944,2.818,2.927,806112.0
1758293700000,2.926,3.0,2.888,2.974,404731.0
1758294000000,2.974,3.04,2.92,3.016,441874.0
1758294300000,3.017,3.072,2.949,2.991,491390.0
1758294600000,2.99,3.006,2.916,2.922,283966.0
1758294900000,2.924,2.978,2.85,2.95,497796.0
1758295200000,2.95,2.98,2.942,2.959,203498.0
1758295500000,2.957,2.988,2.925,2.97,182258.0
1758295800000,2.969,3.063,2.95,2.997,376613.0
1758296100000,2.994,3.075,2.993,3.038,375247.0
1758296400000,3.036,3.12,3.019,3.061,365491.0
1758296700000,3.061,3.086,3.007,3.061,295973.0
1758297000000,3.058,3.106,3.036,3.048,270617.0
1758297300000,3.048,3.052,3.012,3.019,215577.0
1758297600000,3.02,3.064,2.951,3.03,433492.0
1758297900000,3.027,3.027,2.948,2.97,269712.0
1758298200000,2.969,2.987,2.929,2.983,224125.0
1758298500000,2.981,3.018,2.961,2.989,195691.0
1758298800000,2.987,3.008,2.852,2.908,402229.0
1758299100000,2.908,2.943,2.866,2.911,330654.0
1758299400000,2.911,2.96,2.873,2.931,247851.0
1758299700000,2.931,2.966,2.924,2.953,124958.0
1758300000000,2.953,2.988,2.95,2.958,149787.0
1758300300000,2.958,2.995,2.951,2.978,190522.0
1758300600000,2.978,2.983,2.94,2.95,112599.0
1758300900000,2.951,2.963,2.914,2.935,124587.0
1758301200000,2.935,2.955,2.883,2.92,262677.0
1758301500000,2.919,2.948,2.916,2.928,152579.0
1758301800000,2.925,2.939,2.914,2.936,89673.0
1758302100000,2.938,2.99,2.916,2.959,267173.0
1758302400000,2.959,2.965,2.939,2.957,130905.0
1758302700000,2.958,2.97,2.838,2.888,405553.0
1758303000000,2.887,2.898,2.825,2.878,367935.0
1758303300000,2.876,2.9,2.818,2.853,303607.0
1758303600000,2.854,2.926,2.843,2.905,201856.0
1758303900000,2.904,2.91,2.822,2.834,148885.0
1758304200000,2.836,2.868,2.822,2.85,152738.0
1758304500000,2.851,2.892,2.847,2.853,174795.0
1758304800000,2.852,2.935,2.813,2.88,419646.0
1758305100000,2.88,2.883,2.83,2.838,157687.0
1758305400000,2.838,2.863,2.811,2.86,220398.0
1758305700000,2.86,2.864,2.821,2.832,123815.0
1758306000000,2.833,2.836,2.811,2.824,166162.0
1758306300000,2.825,2.857,2.814,2.845,129033.0
1758306600000,2.846,2.846,2.811,2.828,185684.0
1758306900000,2.828,2.849,2.823,2.831,68986.0
1758307200000,2.832,2.855,2.818,2.826,124504.0
1758307500000,2.826,2.826,2.72,2.737,589740.0
1758307800000,2.738,2.774,2.724,2.759,189065.0
1758308100000,2.758,2.762,2.731,2.758,110371.0
1758308400000,2.758,2.833,2.753,2.821,249326.0
1758308700000,2.82,2.9,2.82,2.866,321020.0
1758309000000,2.865,2.938,2.834,2.917,352442.0
1758309300000,2.919,2.935,2.84,2.886,254867.0
1758309600000,2.886,2.901,2.816,2.841,312766.0
1758309900000,2.842,2.889,2.813,2.865,220265.0
1758310200000,2.864,2.899,2.84,2.851,156377.0
1758310500000,2.852,2.9,2.844,2.897,94387.0
1758310800000,2.898,2.906,2.869,2.869,97085.0
1758311100000,2.87,2.904,2.862,2.887,98088.0
1758311400000,2.887,2.915,2.881,2.892,106895.0
1758311700000,2.892,2.909,2.863,2.875,153686.0
1758312000000,2.876,2.895,2.85,2.858,130544.0
1758312300000,2.857,2.889,2.854,2.885,71153.0
1758312600000,2.887,2.908,2.859,2.869,102666.0
1758312900000,2.87,2.894,2.858,2.877,50194.0
1758313200000,2.879,2.972,2.876,2.921,181435.0
1758313500000,2.921,2.928,2.892,2.897,155988.0
1758313800000,2.897,2.937,2.896,2.925,84154.0
1758314100000,2.924,2.954,2.909,2.917,145337.0
1758314400000,2.917,2.925,2.891,2.896,78287.0
1758314700000,2.896,2.933,2.877,2.924,115148.0
1758315000000,2.923,2.942,2.911,2.93,63917.0
1758315300000,2.929,2.941,2.918,2.926,61724.0
1758315600000,2.926,2.987,2.924,2.97,141338.0
1758315900000,2.969,3.029,2.903,2.925,312503.0
1758316200000,2.923,2.957,2.904,2.925,142873.0
1758316500000,2.924,2.969,2.908,2.958,116932.0
1758316800000,2.958,2.964,2.934,2.953,69237.0
1758317100000,2.953,2.958,2.919,2.949,65309.0
1758317400000,2.949,2.951,2.904,2.913,87697.0
1758317700000,2.913,2.928,2.875,2.916,121424.0
1758318000000,2.916,2.919,2.804,2.868,160412.0
1758318300000,2.866,2.88,2.859,2.877,32528.0
1758318600000,2.878,2.885,2.859,2.867,43075.0
1758318900000,2.866,2.884,2.866,2.871,40051.0
1758319200000,2.871,2.883,2.84,2.88,62699.0
1758319500000,2.88,2.904,2.871,2.904,31026.0
1758319800000,2.902,2.912,2.881,2.91,25253.0
1758320100000,2.909,2.91,2.853,2.895,57327.0
1758320400000,2.892,2.897,2.87,2.876,11608.0
1758320700000,2.877,2.896,2.874,2.888,24956.0
1758321000000,2.889,2.899,2.877,2.888,17495.0
1758321300000,2.888,2.89,2.87,2.879,22215.0
1758321600000,2.879,2.908,2.879,2.899,33857.0
1758321900000,2.899,2.943,2.895,2.933,89285.0
1758322200000,2.931,3.003,2.931,2.992,273247.0
1758322500000,2.992,3.02,2.955,3.003,180614.0
1758322800000,3.004,3.048,2.982,3.046,212444.0
1758323100000,3.047,3.079,2.964,3.001,341463.0
1758323400000,3.002,3.003,2.946,2.991,167694.0
1758323700000,2.991,3.02,2.963,2.985,110361.0
1758324000000,2.986,2.993,2.932,2.957,126475.0
1758324300000,2.958,2.997,2.942,2.974,85711.0
1758324600000,2.975,2.988,2.906,2.927,114718.0
1758324900000,2.929,2.931,2.871,2.88,151582.0
1758325200000,2.882,2.951,2.877,2.946,71267.0
1758325500000,2.947,2.954,2.922,2.943,78946.0
1758325800000,2.941,2.963,2.923,2.951,46307.0
