timestamp,open,high,low,close,volume
1751632200000,8.769,8.771,8.746,8.747,80801.98
1751633100000,8.746,8.753,8.723,8.738,279085.57
1751634000000,8.738,8.777,8.731,8.737,341119.51
1751634900000,8.736,8.741,8.712,8.719,206218.92
1751635800000,8.719,8.725,8.689,8.694,297326.93
1751636700000,8.693,8.697,8.654,8.662,624113.32
1751637600000,8.662,8.676,8.631,8.648,593522.85
1751638500000,8.648,8.687,8.6,8.68,793961.82
1751639400000,8.68,8.681,8.653,8.677,293043.24
1751640300000,8.676,8.676,8.646,8.659,183930.6
1751641200000,8.659,8.663,8.631,8.635,268320.93
1751642100000,8.635,8.646,8.601,8.616,378134.8
1751643000000,8.615,8.62,8.511,8.576,1066736.91
1751643900000,8.575,8.586,8.561,8.565,333453.62
1751644800000,8.564,8.568,8.515,8.522,776859.04
1751645700000,8.523,8.532,8.46,8.488,1195326.69
1751646600000,8.488,8.538,8.466,8.513,538320.9
1751647500000,8.513,8.54,8.508,8.534,363195.15
1751648400000,8.533,8.543,8.519,8.52,284665.14
1751649300000,8.52,8.542,8.514,8.526,279547.85
1751650200000,8.525,8.556,8.51,8.54,306995.08
1751651100000,8.54,8.558,8.527,8.557,185831.32
1751652000000,8.557,8.557,8.533,8.535,183001.63
1751652900000,8.535,8.535,8.507,8.515,251160.41
1751653800000,8.515,8.535,8.51,8.516,148231.98
1751654700000,8.517,8.525,8.486,8.489,362802.08
1751655600000,8.489,8.51,8.475,8.506,315429.29
1751656500000,8.506,8.511,8.443,8.445,321037.23
1751657400000,8.444,8.496,8.444,8.495,248829.74
1751658300000,8.494,8.497,8.475,8.479,126776.97
1751659200000,8.479,8.514,8.467,8.511,227619.28
1751660100000,8.511,8.516,8.502,8.507,158881.03
1751661000000,8.507,8.516,8.503,8.511,142728.93
1751661900000,8.511,8.518,8.504,8.508,90275.07
1751662800000,8.508,8.522,8.503,8.522,121113.6
1751663700000,8.522,8.531,8.511,8.529,111726.14
1751664600000,8.53,8.53,8.477,8.492,199342.52
1751665500000,8.491,8.514,8.491,8.514,83819.64
1751666400000,8.513,8.533,8.503,8.533,200042.18
1751667300000,8.532,8.545,8.524,8.532,143830.53
1751668200000,8.531,8.542,8.527,8.528,103468.65
1751669100000,8.529,8.534,8.525,8.531,62668.5
1751670000000,8.531,8.532,8.514,8.517,139206.68
1751670900000,8.517,8.517,8.496,8.499,93697.59
1751671800000,8.499,8.512,8.487,8.49,162391.75
