timestamp,open,high,low,close,volume
1761912000000,0.1022,0.36,0.056,0.1444,32877639.0
1761912300000,0.1443,0.1472,0.1108,0.1249,33672582.0
1761912600000,0.1246,0.1254,0.0934,0.0973,49529869.0
1761912900000,0.0973,0.1121,0.0971,0.1095,36156847.0
1761913200000,0.1097,0.119,0.1061,0.1176,22603229.0
1761913500000,0.1176,0.135,0.1111,0.1134,33601532.0
1761913800000,0.1134,0.1289,0.112,0.1241,18558412.0
1761914100000,0.1241,0.13,0.1189,0.1288,14810848.0
1761914400000,0.129,0.1364,0.1252,0.1326,18289441.0
1761914700000,0.1325,0.1392,0.1291,0.1359,15159565.0
1761915000000,0.136,0.1428,0.1286,0.1317,20864490.0
1761915300000,0.1316,0.1388,0.1271,0.1317,13969229.0
1761915600000,0.1318,0.1395,0.1288,0.1381,9158648.0
1761915900000,0.138,0.1385,0.1305,0.1332,8367835.0
1761916200000,0.1333,0.135,0.1257,0.1348,13060229.0
1761916500000,0.1349,0.1454,0.1298,0.1447,15037787.0
1761916800000,0.1446,0.1575,0.1434,0.1508,25479883.0
1761917100000,0.1508,0.1529,0.144,0.148,12165209.0
1761917400000,0.148,0.158,0.1463,0.155,16587052.0
1761917700000,0.1549,0.1581,0.1462,0.1498,16444162.0
1761918000000,0.1499,0.1545,0.1472,0.1521,7827022.0
1761918300000,0.152,0.1537,0.1455,0.1481,8860516.0
1761918600000,0.148,0.15,0.1416,0.1449,8976017.0
1761918900000,0.1448,0.1478,0.1352,0.1368,12406783.0
1761919200000,0.1368,0.1418,0.1325,0.1375,14405476.0
1761919500000,0.1375,0.1379,0.126,0.1261,16956747.0
1761919800000,0.126,0.1331,0.1259,0.1323,13144563.0
1761920100000,0.1324,0.1427,0.1318,0.1413,13529065.0
1761920400000,0.1412,0.1423,0.136,0.1392,7849975.0
1761920700000,0.1391,0.1416,0.1366,0.1398,4288221.0
1761921000000,0.1398,0.1412,0.1375,0.1388,4163780.0
1761921300000,0.1389,0.1398,0.1334,0.1345,6184371.0
1761921600000,0.1345,0.1383,0.1322,0.1374,4974304.0
1761921900000,0.1375,0.1384,0.1354,0.1364,2925659.0
1761922200000,0.1363,0.142,0.1346,0.1394,5314692.0
1761922500000,0.1394,0.1403,0.1361,0.1379,2529332.0
1761922800000,0.1378,0.1391,0.1362,0.1376,2614535.0
1761923100000,0.1376,0.1406,0.1373,0.1384,2523998.0
1761923400000,0.1384,0.1393,0.1366,0.1369,2059679.0
1761923700000,0.137,0.1401,0.1361,0.1389,2501804.0
1761924000000,0.139,0.1516,0.1383,0.1493,10273745.0
1761924300000,0.1492,0.152,0.1456,0.1468,6543983.0
1761924600000,0.1469,0.1503,0.144,0.144,4587549.0
1761924900000,0.144,0.1462,0.1422,0.1443,4209806.0
1761925200000,0.1444,0.1545,0.1444,0.1539,8629802.0
1761925500000,0.154,0.1573,0.1504,0.1512,9197151.0
1761925800000,0.1513,0.153,0.1464,0.1475,6768557.0
1761926100000,0.1475,0.1512,0.1461,0.1495,3514232.0
1761926400000,0.1494,0.1515,0.1426,0.1465,6022548.0
1761926700000,0.1466,0.1473,0.1381,0.1386,6273527.0
1761927000000,0.1386,0.145,0.1384,0.1441,4854121.0
1761927300000,0.1441,0.1455,0.1414,0.1432,3387757.0
1761927600000,0.1432,0.1467,0.1402,0.1405,3044883.0
1761927900000,0.1404,0.1415,0.1392,0.1404,2243468.0
1761928200000,0.1404,0.142,0.1389,0.1406,2359779.0
1761928500000,0.1406,0.1417,0.1372,0.1381,2547665.0
1761928800000,0.1381,0.1384,0.1334,0.1381,5039882.0
1761929100000,0.1381,0.1424,0.1364,0.1385,4150631.0
1761929400000,0.1385,0.1393,0.1347,0.1381,2598768.0
1761929700000,0.1381,0.1387,0.1364,0.138,1701960.0
1761930000000,0.1379,0.1384,0.1317,0.1343,4646903.0
1761930300000,0.1343,0.1346,0.13,0.1316,4825093.0
1761930600000,0.1318,0.1322,0.1302,0.1322,1754778.0
1761930900000,0.1322,0.1329,0.1303,0.132,2117633.0
1761931200000,0.1319,0.1329,0.1315,0.1321,1119686.0
1761931500000,0.1321,0.1333,0.129,0.1307,2834577.0
1761931800000,0.1307,0.1327,0.1298,0.1321,1545471.0
1761932100000,0.1321,0.133,0.131,0.1316,1316391.0
1761932400000,0.1315,0.1327,0.1313,0.1322,748866.0
1761932700000,0.1321,0.1332,0.1294,0.1302,1889885.0
1761933000000,0.1303,0.132,0.1298,0.132,819624.0
1761933300000,0.132,0.1341,0.1285,0.1287,4055597.0
1761933600000,0.1287,0.131,0.127,0.1291,4101373.0
1761933900000,0.1291,0.1315,0.129,0.1303,1407924.0
1761934200000,0.1303,0.1322,0.1301,0.1312,913100.0
1761934500000,0.1313,0.1321,0.1307,0.1309,884866.0
1761934800000,0.1309,0.131,0.1281,0.1295,2090580.0
1761935100000,0.1295,0.1304,0.1294,0.1298,578577.0
1761935400000,0.1298,0.131,0.1297,0.13,840467.0
1761935700000,0.13,0.1326,0.1296,0.1326,1157062.0
1761936000000,0.1325,0.1361,0.132,0.1351,2830191.0
1761936300000,0.1352,0.1358,0.1337,0.1355,1342808.0
1761936600000,0.1354,0.1371,0.1347,0.1367,1327154.0
1761936900000,0.1367,0.1389,0.1357,0.1385,1356666.0
1761937200000,0.1385,0.1392,0.1354,0.1367,1602663.0
1761937500000,0.1367,0.137,0.1354,0.1366,807966.0
1761937800000,0.1365,0.1368,0.135,0.1351,607977.0
1761938100000,0.1352,0.1358,0.1336,0.1356,1604148.0
1761938400000,0.1355,0.137,0.1354,0.1369,815949.0
1761938700000,0.1368,0.1372,0.1359,0.136,544644.0
1761939000000,0.136,0.1369,0.134,0.1347,1071544.0
1761939300000,0.1348,0.1355,0.1339,0.134,916105.0
1761939600000,0.134,0.1353,0.1336,0.135,729832.0
1761939900000,0.1349,0.1356,0.1343,0.1354,681688.0
1761940200000,0.1354,0.136,0.135,0.1354,928857.0
1761940500000,0.1354,0.1358,0.1337,0.1347,696463.0
1761940800000,0.1348,0.1349,0.1322,0.1334,1116325.0
1761941100000,0.1335,0.1357,0.1335,0.1354,731211.0
1761941400000,0.1355,0.1377,0.1346,0.1366,1659520.0
1761941700000,0.1365,0.138,0.1361,0.1376,869552.0
1761942000000,0.1376,0.1377,0.1357,0.1359,559656.0
1761942300000,0.1358,0.1382,0.1353,0.1379,721502.0
1761942600000,0.1377,0.1388,0.1372,0.1386,939471.0
1761942900000,0.1385,0.1385,0.1371,0.1375,535499.0
1761943200000,0.1375,0.1375,0.1355,0.1363,809380.0
1761943500000,0.1363,0.1373,0.1359,0.1364,450079.0
1761943800000,0.1363,0.1363,0.1348,0.1359,665293.0
1761944100000,0.1358,0.1368,0.128,0.1312,4154264.0
1761944400000,0.1313,0.1329,0.1288,0.1321,3473828.0
1761944700000,0.1322,0.1345,0.1322,0.1339,1370641.0
1761945000000,0.134,0.1345,0.133,0.1331,700022.0
1761945300000,0.1331,0.1355,0.1327,0.1351,790442.0
1761945600000,0.1352,0.1361,0.1349,0.1361,389827.0
1761945900000,0.1361,0.1367,0.1354,0.1358,687110.0
1761946200000,0.1357,0.1362,0.1345,0.1345,484354.0
1761946500000,0.1346,0.1359,0.1337,0.1338,639741.0
1761946800000,0.1337,0.1337,0.1306,0.1312,1073075.0
1761947100000,0.1312,0.1321,0.1302,0.1302,566984.0
1761947400000,0.1302,0.1326,0.1298,0.1325,700124.0
1761947700000,0.1325,0.1333,0.1312,0.1316,714831.0
1761948000000,0.1316,0.1338,0.1313,0.1326,1167885.0
