timestamp,open,high,low,close,volume
1766511000000,3.734,4.389,3.455,3.925,491348.1
1766511300000,3.924,4.03,3.834,3.969,341563.4
1766511600000,3.969,4.134,3.884,3.942,516313.3
1766511900000,3.942,3.981,3.751,3.94,455875.5
1766512200000,3.936,3.972,3.873,3.884,232208.1
1766512500000,3.884,3.91,3.713,3.738,348525.6
1766512800000,3.738,3.788,3.61,3.644,456348.3
1766513100000,3.644,3.667,3.53,3.658,462521.1
1766513400000,3.656,3.663,3.5,3.591,462226.1
1766513700000,3.591,3.607,3.35,3.465,648866.3
1766514000000,3.467,3.575,3.45,3.57,298610.6
1766514300000,3.568,3.595,3.542,3.563,238788.9
1766514600000,3.565,3.59,3.503,3.549,298058.5
1766514900000,3.549,3.557,3.44,3.522,230378.4
1766515200000,3.522,3.73,3.512,3.686,470568.2
1766515500000,3.689,3.794,3.653,3.775,546495.5
1766515800000,3.773,3.79,3.622,3.724,484464.2
1766516100000,3.726,3.763,3.681,3.726,213298.2
1766516400000,3.725,3.777,3.706,3.749,175475.8
1766516700000,3.749,3.8,3.575,3.58,423685.6
1766517000000,3.582,3.689,3.579,3.661,213608.2
1766517300000,3.661,3.709,3.607,3.674,186045.0
1766517600000,3.675,3.747,3.672,3.716,165967.3
1766517900000,3.719,3.739,3.667,3.67,134762.8
1766518200000,3.672,3.709,3.634,3.643,137187.5
1766518500000,3.641,3.702,3.6,3.619,175234.8
1766518800000,3.621,3.647,3.58,3.62,177069.7
1766519100000,3.62,3.64,3.58,3.616,138337.3
1766519400000,3.616,3.647,3.593,3.624,142428.9
1766519700000,3.625,3.705,3.624,3.658,143847.4
1766520000000,3.655,3.671,3.598,3.661,165836.4
1766520300000,3.659,3.677,3.591,3.611,175529.4
1766520600000,3.612,3.621,3.564,3.586,163140.0
1766520900000,3.588,3.62,3.588,3.603,76273.5
1766521200000,3.603,3.639,3.6,3.618,97614.7
1766521500000,3.616,3.629,3.584,3.617,125424.2
1766521800000,3.616,3.667,3.609,3.643,120409.0
1766522100000,3.642,3.743,3.63,3.718,174424.9
1766522400000,3.718,3.743,3.705,3.714,107018.5
1766522700000,3.715,3.74,3.685,3.731,96844.1
1766523000000,3.732,3.75,3.715,3.743,75166.3
1766523300000,3.742,3.78,3.7,3.725,172904.9
1766523600000,3.724,3.759,3.72,3.742,105319.4
1766523900000,3.742,3.775,3.707,3.771,103506.3
1766524200000,3.771,3.774,3.708,3.717,104589.3
1766524500000,3.716,3.723,3.663,3.67,161652.4
1766524800000,3.67,3.688,3.57,3.604,201202.0
1766525100000,3.606,3.632,3.589,3.632,104293.0
1766525400000,3.63,3.645,3.597,3.625,74209.3
1766525700000,3.625,3.632,3.601,3.622,33441.6
1766526000000,3.622,3.638,3.611,3.631,35862.9
1766526300000,3.632,3.667,3.629,3.649,42709.4
1766526600000,3.648,3.678,3.593,3.6,77866.1
1766526900000,3.601,3.628,3.571,3.615,90330.6
1766527200000,3.615,3.651,3.6,3.637,46282.5
1766527500000,3.638,3.646,3.615,3.624,31130.9
1766527800000,3.623,3.625,3.538,3.599,160298.0
1766528100000,3.598,3.606,3.568,3.581,47897.0
1766528400000,3.581,3.588,3.551,3.564,70348.5
1766528700000,3.567,3.672,3.557,3.647,142712.7
1766529000000,3.646,3.668,3.614,3.637,100350.9
1766529300000,3.637,3.65,3.58,3.586,82823.5
1766529600000,3.586,3.596,3.56,3.571,71807.2
1766529900000,3.571,3.646,3.568,3.642,80048.4
1766530200000,3.641,3.66,3.627,3.634,57880.7
1766530500000,3.636,3.671,3.633,3.669,24340.8
1766530800000,3.67,3.7,3.669,3.675,73330.0
1766531100000,3.675,3.681,3.584,3.616,88173.3
1766531400000,3.615,3.623,3.585,3.598,47787.9
1766531700000,3.596,3.645,3.595,3.641,44092.3
1766532000000,3.643,3.667,3.617,3.637,58333.7
1766532300000,3.636,3.657,3.605,3.652,42896.3
1766532600000,3.653,3.696,3.641,3.674,79599.4
1766532900000,3.674,3.7,3.645,3.645,69123.9
1766533200000,3.646,3.668,3.625,3.66,48063.5
1766533500000,3.658,3.673,3.65,3.661,29809.1
1766533800000,3.66,3.665,3.653,3.653,9078.7
1766534100000,3.653,3.654,3.62,3.629,41021.1
1766534400000,3.629,3.632,3.55,3.556,115752.7
1766534700000,3.556,3.581,3.545,3.554,60359.4
1766535000000,3.556,3.572,3.546,3.559,46261.7
1766535300000,3.561,3.563,3.533,3.556,66068.1
1766535600000,3.556,3.573,3.46,3.481,140649.3
1766535900000,3.481,3.58,3.481,3.522,124254.2
1766536200000,3.522,3.532,3.458,3.466,114945.7
1766536500000,3.467,3.54,3.45,3.534,117202.5
1766536800000,3.534,3.675,3.501,3.642,252348.3
1766537100000,3.641,3.642,3.58,3.594,114840.2
1766537400000,3.593,3.614,3.577,3.61,55146.7
1766537700000,3.609,3.619,3.591,3.614,44139.1
1766538000000,3.616,3.619,3.592,3.6,68574.4
1766538300000,3.6,3.625,3.593,3.624,68456.0
1766538600000,3.624,3.642,3.6,3.631,51548.8
1766538900000,3.632,3.65,3.532,3.541,115756.0
1766539200000,3.543,3.568,3.489,3.517,136394.1
1766539500000,3.517,3.548,3.507,3.542,45383.9
1766539800000,3.542,3.556,3.517,3.547,51263.4
1766540100000,3.545,3.556,3.523,3.528,31362.6
1766540400000,3.528,3.591,3.505,3.574,98301.5
1766540700000,3.573,3.574,3.539,3.543,32165.8
1766541000000,3.542,3.555,3.526,3.542,36018.8
1766541300000,3.543,3.553,3.529,3.543,43307.9
1766541600000,3.543,3.575,3.525,3.558,68271.9
1766541900000,3.557,3.557,3.507,3.512,75446.9
1766542200000,3.514,3.528,3.488,3.513,68409.3
1766542500000,3.513,3.526,3.501,3.505,39778.6
1766542800000,3.505,3.521,3.468,3.492,87577.9
1766543100000,3.492,3.496,3.457,3.471,63324.7
1766543400000,3.472,3.494,3.463,3.491,45263.3
1766543700000,3.489,3.493,3.347,3.381,222206.1
1766544000000,3.381,3.4,3.303,3.355,234820.5
1766544300000,3.354,3.417,3.279,3.299,238636.1
1766544600000,3.299,3.328,3.281,3.322,121266.4
1766544900000,3.324,3.334,3.251,3.27,95243.2
1766545200000,3.271,3.29,3.22,3.266,226174.0
1766545500000,3.264,3.268,3.2,3.205,213020.1
1766545800000,3.205,3.21,3.112,3.156,366737.9
1766546100000,3.155,3.198,3.125,3.198,258020.0
1766546400000,3.198,3.339,3.189,3.279,452382.7
