timestamp,open,high,low,close,volume
1751631300000,2.187,2.195,2.186,2.193,344313.0
1751632200000,2.192,2.193,2.181,2.181,266628.0
1751633100000,2.181,2.184,2.175,2.178,357664.0
1751634000000,2.178,2.191,2.174,2.174,555702.0
1751634900000,2.175,2.178,2.171,2.172,309927.0
1751635800000,2.173,2.178,2.164,2.168,550471.0
1751636700000,2.168,2.177,2.163,2.166,536061.0
1751637600000,2.166,2.17,2.148,2.155,1477485.0
1751638500000,2.154,2.172,2.145,2.17,1220781.0
1751639400000,2.17,2.173,2.16,2.171,706414.0
1751640300000,2.17,2.17,2.157,2.16,609070.0
1751641200000,2.161,2.164,2.149,2.153,567562.0
1751642100000,2.153,2.157,2.142,2.147,886106.0
1751643000000,2.146,2.152,2.138,2.147,545929.0
1751643900000,2.147,2.149,2.14,2.142,377893.0
1751644800000,2.142,2.144,2.119,2.122,1534304.0
1751645700000,2.122,2.124,2.106,2.11,1403129.0
1751646600000,2.11,2.122,2.097,2.107,1316456.0
1751647500000,2.107,2.119,2.105,2.115,749840.0
1751648400000,2.115,2.121,2.108,2.109,956334.0
1751649300000,2.109,2.119,2.108,2.112,480555.0
1751650200000,2.112,2.124,2.107,2.118,489238.0
1751651100000,2.117,2.124,2.111,2.122,579033.0
1751652000000,2.122,2.122,2.108,2.109,692178.0
1751652900000,2.109,2.109,2.102,2.105,546471.0
1751653800000,2.105,2.117,2.105,2.115,298483.0
1751654700000,2.115,2.119,2.108,2.112,325404.0
1751655600000,2.113,2.117,2.11,2.114,585277.0
1751656500000,2.114,2.115,2.098,2.098,444055.0
1751657400000,2.098,2.111,2.097,2.109,240084.0
1751658300000,2.109,2.11,2.102,2.103,190590.0
1751659200000,2.104,2.112,2.099,2.112,348330.0
1751660100000,2.111,2.116,2.109,2.112,463102.0
1751661000000,2.112,2.121,2.112,2.119,464092.0
1751661900000,2.119,2.122,2.116,2.119,281432.0
1751662800000,2.118,2.121,2.116,2.118,473947.0
1751663700000,2.118,2.122,2.112,2.115,514968.0
1751664600000,2.115,2.115,2.104,2.11,398999.0
1751665500000,2.11,2.118,2.109,2.116,332300.0
1751666400000,2.116,2.131,2.113,2.13,704131.0
1751667300000,2.131,2.131,2.122,2.13,671236.0
1751668200000,2.129,2.138,2.127,2.136,448141.0
1751669100000,2.136,2.139,2.133,2.138,262175.0
1751670000000,2.138,2.138,2.128,2.131,409401.0
1751670900000,2.132,2.133,2.123,2.127,378587.0
1751671800000,2.126,2.136,2.126,2.128,517206.0
1751672700000,2.128,2.133,2.125,2.132,346141.0
1751673600000,2.132,2.134,2.123,2.133,580757.0
1751674500000,2.134,2.144,2.131,2.143,472099.0
1751675400000,2.142,2.146,2.137,2.144,421438.0
1751676300000,2.144,2.151,2.14,2.145,376278.0
1751677200000,2.145,2.145,2.133,2.133,351231.0
1751678100000,2.133,2.133,2.122,2.123,484514.0
1751679000000,2.123,2.127,2.115,2.119,608023.0
1751679900000,2.12,2.123,2.113,2.123,282158.0
1751680800000,2.122,2.124,2.117,2.121,359284.0
1751681700000,2.121,2.126,2.116,2.118,146522.0
1751682600000,2.118,2.127,2.111,2.127,311890.0
1751683500000,2.127,2.133,2.124,2.132,259664.0
1751684400000,2.132,2.143,2.131,2.138,371228.0
1751685300000,2.139,2.144,2.136,2.142,328311.0
1751686200000,2.142,2.145,2.133,2.134,334331.0
1751687100000,2.134,2.138,2.132,2.135,194857.0
1751688000000,2.135,2.136,2.123,2.127,405270.0
1751688900000,2.127,2.138,2.123,2.137,279599.0
1751689800000,2.137,2.138,2.126,2.127,299987.0
1751690700000,2.127,2.129,2.119,2.121,198832.0
1751691600000,2.121,2.121,2.113,2.115,346825.0
1751692500000,2.115,2.122,2.11,2.12,287965.0
1751693400000,2.12,2.121,2.116,2.12,150583.0
1751694300000,2.12,2.126,2.119,2.126,164254.0
1751695200000,2.126,2.127,2.12,2.12,211456.0
1751696100000,2.12,2.133,2.117,2.132,374909.0
1751697000000,2.132,2.137,2.126,2.131,381910.0
1751697900000,2.131,2.138,2.13,2.136,231416.0
1751698800000,2.137,2.14,2.13,2.13,202552.0
1751699700000,2.131,2.138,2.128,2.135,208236.0
1751700600000,2.136,2.136,2.128,2.131,210595.0
1751701500000,2.131,2.132,2.124,2.128,150997.0
1751702400000,2.127,2.132,2.124,2.132,165967.0
1751703300000,2.132,2.133,2.124,2.124,176077.0
1751704200000,2.124,2.126,2.117,2.12,298889.0
1751705100000,2.12,2.124,2.114,2.122,381148.0
1751706000000,2.123,2.123,2.114,2.116,415619.0
1751706900000,2.116,2.117,2.11,2.115,494887.0
1751707800000,2.115,2.121,2.113,2.116,230234.0
1751708700000,2.116,2.131,2.115,2.129,285548.0
1751709600000,2.129,2.131,2.126,2.126,203930.0
1751710500000,2.127,2.132,2.125,2.131,259089.0
