timestamp,open,high,low,close,volume
1751631840000,8.76,8.771,8.757,8.77,49571.45
1751632020000,8.77,8.77,8.766,8.769,15033.24
1751632200000,8.769,8.771,8.763,8.763,19768.86
1751632380000,8.763,8.763,8.754,8.759,13074.13
1751632560000,8.76,8.76,8.751,8.758,16401.37
1751632740000,8.757,8.76,8.748,8.751,19770.78
1751632920000,8.752,8.753,8.746,8.747,11786.84
1751633100000,8.746,8.75,8.734,8.736,47839.65
1751633280000,8.735,8.736,8.723,8.73,39788.03
1751633460000,8.731,8.732,8.724,8.73,42083.76
1751633640000,8.731,8.749,8.731,8.749,31881.23
1751633820000,8.749,8.753,8.736,8.738,117492.9
1751634000000,8.738,8.757,8.738,8.748,109069.85
1751634180000,8.749,8.766,8.745,8.765,82037.25
1751634360000,8.765,8.777,8.752,8.753,67003.77
1751634540000,8.753,8.753,8.74,8.74,39156.28
1751634720000,8.74,8.741,8.731,8.737,43852.36
1751634900000,8.736,8.741,8.735,8.735,46121.19
1751635080000,8.735,8.738,8.728,8.732,47778.16
1751635260000,8.732,8.735,8.722,8.728,28245.97
1751635440000,8.727,8.727,8.716,8.724,60079.64
1751635620000,8.724,8.724,8.712,8.719,23993.96
1751635800000,8.719,8.719,8.707,8.709,43387.34
1751635980000,8.708,8.725,8.702,8.708,63252.24
1751636160000,8.708,8.714,8.701,8.702,29861.99
1751636340000,8.702,8.702,8.689,8.698,98652.9
1751636520000,8.697,8.709,8.694,8.694,62172.46
1751636700000,8.693,8.697,8.687,8.688,161429.58
1751636880000,8.689,8.689,8.668,8.672,80084.35
1751637060000,8.671,8.689,8.654,8.676,270395.87
1751637240000,8.676,8.677,8.666,8.676,57673.78
1751637420000,8.675,8.677,8.656,8.662,54529.74
1751637600000,8.662,8.672,8.659,8.663,93292.59
1751637780000,8.662,8.676,8.652,8.659,76898.1
1751637960000,8.659,8.662,8.638,8.641,104881.65
1751638140000,8.642,8.658,8.636,8.637,220555.64
1751638320000,8.636,8.656,8.631,8.648,97894.87
1751638500000,8.648,8.658,8.632,8.637,150012.43
1751638680000,8.638,8.645,8.6,8.616,302778.36
1751638860000,8.616,8.646,8.616,8.633,155382.78
1751639040000,8.632,8.686,8.632,8.675,137715.94
1751639220000,8.675,8.687,8.675,8.68,48072.31
1751639400000,8.68,8.68,8.653,8.666,120916.41
1751639580000,8.665,8.667,8.656,8.663,83029.67
1751639760000,8.662,8.676,8.662,8.669,40567.22
1751639940000,8.67,8.675,8.658,8.675,24018.81
1751640120000,8.675,8.681,8.672,8.677,24511.13
1751640300000,8.676,8.676,8.65,8.653,71030.78
1751640480000,8.653,8.659,8.646,8.656,27137.06
1751640660000,8.656,8.664,8.653,8.661,29456.2
1751640840000,8.661,8.667,8.649,8.649,25456.82
1751641020000,8.648,8.66,8.648,8.659,30849.74
1751641200000,8.659,8.663,8.651,8.652,25646.49
1751641380000,8.652,8.663,8.648,8.649,19957.25
1751641560000,8.649,8.649,8.637,8.643,92937.31
1751641740000,8.644,8.654,8.631,8.635,102604.15
1751641920000,8.635,8.646,8.633,8.635,27175.73
1751642100000,8.635,8.646,8.62,8.621,119636.95
1751642280000,8.621,8.625,8.612,8.615,54387.66
1751642460000,8.614,8.638,8.601,8.632,97596.42
1751642640000,8.633,8.636,8.619,8.624,47378.43
1751642820000,8.624,8.628,8.604,8.616,59135.34
1751643000000,8.615,8.62,8.6,8.607,64429.09
1751643180000,8.607,8.612,8.511,8.57,619562.98
1751643360000,8.57,8.585,8.568,8.57,102002.12
1751643540000,8.57,8.589,8.565,8.578,218803.82
1751643720000,8.578,8.58,8.558,8.576,61938.9
1751643900000,8.575,8.582,8.562,8.581,75133.54
1751644080000,8.582,8.583,8.566,8.57,83670.32
1751644260000,8.571,8.578,8.561,8.57,82968.03
1751644440000,8.57,8.586,8.564,8.573,52234.25
1751644620000,8.573,8.579,8.564,8.565,39447.48
1751644800000,8.564,8.567,8.547,8.551,253566.98
1751644980000,8.55,8.568,8.531,8.536,143279.18
1751645160000,8.537,8.565,8.521,8.537,149677.11
1751645340000,8.537,8.542,8.517,8.523,144674.64
1751645520000,8.523,8.533,8.515,8.522,85661.13
1751645700000,8.523,8.532,8.5,8.526,167931.41
1751645880000,8.525,8.531,8.487,8.495,322262.81
1751646060000,8.495,8.495,8.46,8.476,414643.81
1751646240000,8.476,8.505,8.467,8.486,198105.04
1751646420000,8.486,8.493,8.471,8.488,92383.62
1751646600000,8.488,8.489,8.466,8.479,151251.84
1751646780000,8.48,8.504,8.478,8.5,118276.44
1751646960000,8.5,8.538,8.497,8.534,119253.9
1751647140000,8.534,8.536,8.506,8.51,106753.6
1751647320000,8.51,8.516,8.505,8.513,42785.12
1751647500000,8.513,8.528,8.508,8.526,131943.89
1751647680000,8.527,8.54,8.524,8.525,65082.33
1751647860000,8.524,8.525,8.51,8.512,58372.88
1751648040000,8.512,8.532,8.512,8.529,75730.16
1751648220000,8.528,8.538,8.525,8.534,32065.89
1751648400000,8.533,8.543,8.528,8.532,80022.4
1751648580000,8.531,8.535,8.519,8.526,84922.66
1751648760000,8.525,8.532,8.519,8.525,58040.22
1751648940000,8.524,8.535,8.523,8.524,33622.85
1751649120000,8.524,8.53,8.519,8.52,28057.01
1751649300000,8.52,8.533,8.519,8.53,29530.2
1751649480000,8.531,8.542,8.53,8.534,58931.27
1751649660000,8.535,8.538,8.528,8.53,42100.85
1751649840000,8.529,8.529,8.514,8.528,63608.05
1751650020000,8.529,8.537,8.526,8.526,85377.48
1751650200000,8.525,8.525,8.51,8.521,64010.01
1751650380000,8.521,8.539,8.519,8.537,46927.69
1751650560000,8.537,8.549,8.535,8.547,81456.09
1751650740000,8.548,8.556,8.545,8.547,94650.47
1751650920000,8.546,8.548,8.54,8.54,19950.82
1751651100000,8.54,8.542,8.529,8.533,60570.13
1751651280000,8.532,8.546,8.527,8.545,49933.65
1751651460000,8.544,8.549,8.541,8.548,14294.93
1751651640000,8.549,8.557,8.549,8.554,40181.31
1751651820000,8.553,8.558,8.553,8.557,20851.3
1751652000000,8.557,8.557,8.542,8.543,59173.97
1751652180000,8.543,8.551,8.538,8.544,46657.79
1751652360000,8.545,8.55,8.542,8.545,24088.69
1751652540000,8.545,8.547,8.538,8.54,21821.71
1751652720000,8.54,8.542,8.533,8.535,31259.47
1751652900000,8.535,8.535,8.519,8.526,61759.25
1751653080000,8.527,8.527,8.516,8.52,54056.76
1751653260000,8.521,8.53,8.52,8.529,12992.0
1751653440000,8.529,8.529,8.514,8.514,51221.77
1751653620000,8.514,8.517,8.507,8.515,71130.63
1751653800000,8.515,8.529,8.515,8.526,25077.83
1751653980000,8.527,8.529,8.519,8.526,25060.57
1751654160000,8.526,8.53,8.524,8.53,9262.48
1751654340000,8.529,8.535,8.526,8.526,26025.3
1751654520000,8.526,8.527,8.51,8.516,62805.8
1751654700000,8.517,8.525,8.51,8.51,100578.89
1751654880000,8.511,8.511,8.486,8.491,122350.57
1751655060000,8.492,8.497,8.49,8.497,43320.67
1751655240000,8.497,8.503,8.496,8.5,37997.7
1751655420000,8.499,8.5,8.489,8.489,58554.25
1751655600000,8.489,8.489,8.475,8.48,182556.64
1751655780000,8.48,8.49,8.48,8.488,29526.52
1751655960000,8.489,8.499,8.489,8.497,34582.39
1751656140000,8.497,8.499,8.493,8.498,23055.62
1751656320000,8.499,8.51,8.499,8.506,45708.12
1751656500000,8.506,8.511,8.503,8.507,20908.12
1751656680000,8.507,8.507,8.479,8.481,67087.14
1751656860000,8.481,8.486,8.473,8.475,47444.0
1751657040000,8.476,8.476,8.466,8.471,69666.76
1751657220000,8.47,8.474,8.443,8.445,115931.21
1751657400000,8.444,8.458,8.444,8.458,48848.17
1751657580000,8.457,8.473,8.457,8.465,80060.51
1751657760000,8.465,8.478,8.465,8.476,65214.58
1751657940000,8.476,8.486,8.476,8.483,17058.81
1751658120000,8.483,8.496,8.483,8.495,37647.67
1751658300000,8.494,8.497,8.491,8.493,15642.9
1751658480000,8.492,8.493,8.475,8.483,39811.66
1751658660000,8.483,8.483,8.479,8.481,19212.75
1751658840000,8.481,8.483,8.478,8.482,27035.9
1751659020000,8.481,8.482,8.476,8.479,25073.76
1751659200000,8.479,8.479,8.467,8.474,65220.14
1751659380000,8.473,8.487,8.469,8.484,41049.58
1751659560000,8.484,8.503,8.484,8.498,56273.93
1751659740000,8.499,8.502,8.495,8.499,38482.99
1751659920000,8.499,8.514,8.499,8.511,26592.64
1751660100000,8.511,8.513,8.505,8.508,35746.76
1751660280000,8.508,8.514,8.502,8.512,41472.89
1751660460000,8.512,8.513,8.502,8.503,23807.44
1751660640000,8.504,8.516,8.503,8.515,31384.56
1751660820000,8.514,8.515,8.507,8.507,26469.38
1751661000000,8.507,8.511,8.504,8.511,24431.44
